,words,count
0,de,2830
1,en,1793
2,van,1612
3,het,1112
4,een,1001
5,we,785
6,in,696
7,voor,676
8,•,565
9,op,456
10,te,432
11,met,408
12,om,325
13,aan,293
14,vlaamse,256
15,worden,213
16,die,201
17,dat,182
18,is,165
19,,161
20,meer,147
21,tot,145
22,ook,142
23,vlaanderen,130
24,wordt,125
25,overheid,119
26,als,119
27,of,116
28,door,113
29,sociale,112
30,zijn,111
31,naar,110
32,beleid,108
33,onderwijs,106
34,uit,106
35,moet,105
36,wij,104
37,bij,101
38,zal,99
39,deze,98
40,alle,98
41,hun,96
42,regering,94
43,tussen,91
44,niet,89
45,inzake,85
46,er,79
47,maken,78
48,kunnen,77
49,zullen,77
50,geven,75
51,dit,75
52,over,75
53,mensen,73
54,vlaams,73
55,samenwerking,71
56,zich,70
57,realiseren,66
58,gemeenten,63
59,zo,63
60,versterken,62
61,zorgen,62
62,kan,62
63,onze,61
64,via,57
65,werken,56
66,brussel,55
67,stimuleren,52
68,maar,51
69,mogelijk,51
70,samenleving,50
71,voeren,50
72,andere,49
73,nemen,48
74,kansen,48
75,zorg,48
76,haar,48
77,aandacht,47
78,moeten,47
79,binnen,47
80,waar,46
81,vlak,46
82,werk,45
83,betere,44
84,verder,44
85,willen,44
86,europese,43
87,ondersteunen,43
88,bevoegdheden,42
89,ruimte,41
90,lokale,41
91,krijgen,41
92,hebben,41
93,jongeren,40
94,nieuwe,40
95,eigen,40
96,onder,40
97,maatregelen,39
98,cultuur,38
99,ze,38
100,zodat,38
101,verantwoordelijkheid,37
102,goed,37
103,middelen,37
104,scholen,37
105,iedereen,36
106,besturen,36
107,rand,36
108,overleg,36
109,bedrijven,36
110,zoals,35
111,economie,35
112,oog,35
113,verschillende,34
114,aanbod,34
115,–,34
116,kader,34
117,kwaliteit,33
118,…,33
119,komen,33
120,administratieve,32
121,ten,32
122,minister,32
123,b,31
124,ondernemingen,31
125,tegen,31
126,bestaande,31
127,gemeenschap,30
128,bouwen,30
129,geen,30
130,aantal,30
131,gaan,30
132,zij,30
133,beter,29
134,doen,29
135,culturele,29
136,federale,29
137,ondersteuning,29
138,zonder,29
139,diensten,29
140,a,28
141,internationale,28
142,dan,28
143,voorzien,28
144,gebruik,28
145,ruimtelijke,27
146,economische,27
147,daartoe,27
148,maatschappelijke,27
149,ﬁnanciële,27
150,zowel,27
151,bijzondere,26
152,toe,26
153,houden,26
154,rekening,26
155,initiatieven,26
156,instellingen,25
157,speciﬁeke,25
158,school,25
159,ordening,25
160,basis,25
161,eerste,25
162,daarbij,25
163,wil,25
164,ons,25
165,komt,25
166,uitvoering,25
167,arbeidsmarkt,24
168,c,24
169,decreet,24
170,mogelijkheden,24
171,doelstellingen,24
172,ouders,24
173,kinderen,24
174,streven,24
175,rol,24
176,investeringen,24
177,gelijke,23
178,investeren,23
179,gericht,23
180,verenigingen,23
181,steden,23
182,procedures,23
183,blijven,23
184,nodig,23
185,één,23
186,afspraken,23
187,waarbij,23
188,algemeen,23
189,diversiteit,22
190,bevorderen,22
191,voldoende,22
192,rechten,22
193,duurzame,22
194,ontwikkeling,22
195,economisch,22
196,heeft,22
197,goede,22
198,stellen,22
199,maximaal,22
200,uitbouw,22
201,minder,21
202,politieke,21
203,ondernemen,21
204,problemen,21
205,richten,21
206,coördinatie,21
207,daarom,21
208,leerlingen,21
209,ﬁnanciering,21
210,landbouw,21
211,regelgeving,21
212,inbegrip,21
213,verhogen,20
214,sport,20
215,staat,20
216,weg,20
217,versterkt,20
218,nodige,20
219,ter,20
220,02552,20
221,veel,19
222,elk,19
223,buitenlandse,19
224,burgers,19
225,grote,19
226,innovatie,19
227,opleiding,19
228,sociaal,19
229,werking,19
230,functie,19
231,zetten,19
232,mogelijkheid,19
233,wonen,19
234,gewest,19
235,sterke,18
236,raam,18
237,organisatie,18
238,1,18
239,d,18
240,actief,18
241,mobiliteit,18
242,alleen,18
243,respect,18
244,termijn,18
245,vorming,18
246,welzijn,18
247,belang,18
248,én,18
249,toegang,18
250,na,18
251,sector,18
252,openbare,18
253,ontwikkelen,18
254,regels,17
255,gezinnen,17
256,huisvesting,17
257,gezondheidszorg,17
258,personen,17
259,vrije,17
260,hoger,17
261,aanpak,17
262,milieu,17
263,energie,17
264,al,17
265,deel,17
266,extra,17
267,betekent,17
268,wat,17
269,waarin,17
270,federaal,17
271,volgen,17
272,systeem,17
273,private,17
274,onderzoeken,17
275,infrastructuur,17
276,3,16
277,autonomie,16
278,hoge,16
279,onderzoek,16
280,noden,16
281,manier,16
282,afstemming,16
283,parlement,16
284,grotere,16
285,realisatie,16
286,open,16
287,steeds,16
288,geïntegreerd,16
289,kiezen,16
290,voorwaarden,16
291,beleidsdomeinen,16
292,woning,15
293,recht,15
294,bestuur,15
295,leven,15
296,elkaar,15
297,leveren,15
298,mag,15
299,wie,15
300,begeleiding,15
301,instrumenten,15
302,evalueren,15
303,integratie,15
304,principe,15
305,uitbreiding,15
306,nog,15
307,2004,14
308,uitdagingen,14
309,dienstverlening,14
310,verbeteren,14
311,thuiszorg,14
312,centra,14
313,duidelijke,14
314,provincies,14
315,creativiteit,14
316,zelf,14
317,gaat,14
318,maatschappelijk,14
319,betrekking,14
320,elke,14
321,effectief,14
322,vlamingen,14
323,af,14
324,evenwicht,14
325,correct,14
326,niveau,14
327,hogere,14
328,volwaardige,14
329,vereenvoudigen,14
330,betrokken,14
331,breiden,14
332,tevens,14
333,aangepast,14
334,vervoer,14
335,mbt,14
336,decreten,14
337,toezicht,14
338,e,13
339,nederlandstalig,13
340,samenleven,13
341,participatie,13
342,overlast,13
343,leefmilieu,13
344,plaats,13
345,enof,13
346,arbeid,13
347,belangrijke,13
348,betrokkenheid,13
349,korte,13
350,jaar,13
351,concrete,13
352,effectieve,13
353,actoren,13
354,actieve,13
355,wijze,13
356,bevoegdheid,13
357,werknemers,13
358,vanuit,13
359,toegankelijkheid,13
360,huisvestingsmaatschappijen,13
361,studies,13
362,sectoren,12
363,2,12
364,handicap,12
365,vrijheid,12
366,brede,12
367,tewerkstelling,12
368,verenigingsleven,12
369,ruimtelijk,12
370,blijft,12
371,aanwezigheid,12
372,opdracht,12
373,beroep,12
374,bijdragen,12
375,sterker,12
376,behoud,12
377,bijkomende,12
378,evaluatie,12
379,normen,12
380,organisaties,12
381,duidelijk,12
382,openbaar,12
383,waken,12
384,inspanningen,12
385,centraal,12
386,verplichtingen,12
387,ontwikkelingssamenwerking,12
388,ervan,12
389,europees,12
390,passen,12
391,nieuw,12
392,bieden,12
393,moedigen,12
394,vormen,12
395,projecten,12
