,words,count
0,de,2278
1,van,1221
2,en,918
3,het,873
4,,630
5,een,609
6,worden,514
7,in,493
8,zal,448
9,vlaamse,398
10,op,314
11,voor,297
12,te,294
13,met,243
14,regering,237
15,aan,170
16,zullen,144
17,om,135
18,die,131
19,door,123
20,beleid,115
21,bij,100
22,moet,95
23,inzake,95
24,dit,90
25,1,88
26,dat,83
27,is,83
28,tot,83
29,zijn,79
30,deze,70
31,naar,69
32,onderwijs,62
33,als,61
34,er,61
35,meer,56
36,dient,56
37,wordt,54
38,tussen,54
39,vlaams,54
40,raad,53
41,haar,49
42,gemeenschap,49
43,1992,48
44,alle,48
45,ook,47
46,10,46
47,moeten,46
48,basis,46
49,sociale,45
50,overheid,45
51,vlaanderen,42
52,nieuwe,42
53,ten,39
54,verder,39
55,bz,38
56,nr,38
57,kader,38
58,via,37
59,aandacht,37
60,zich,36
61,overleg,35
62,samenwerking,33
63,burger,33
64,middelen,33
65,maken,32
66,grote,32
67,kunnen,32
68,nationale,32
69,bijzonder,32
70,onderzoek,32
71,binnen,32
72,brussel,31
73,vlak,30
74,dienen,30
75,uit,29
76,bijzondere,29
77,integratie,29
78,bestaande,28
79,onder,28
80,heeft,27
81,zowel,27
82,hierbij,27
83,kan,27
84,maatregelen,27
85,ter,26
86,over,26
87,werking,26
88,tevens,26
89,economische,25
90,betrokken,25
91,nodige,25
92,oog,25
93,mogelijk,24
94,financiële,24
95,europese,24
96,zij,24
97,maatschappelijke,24
98,specifieke,24
99,decreet,24
100,termijn,24
101,hun,24
102,of,23
103,initiatieven,23
104,instellingen,22
105,administratie,22
106,rol,21
107,krijgen,21
108,sociaal,21
109,uitvoering,21
110,wijze,21
111,zoals,21
112,tegen,21
113,waarbij,21
114,eigen,20
115,voeren,20
116,niet,20
117,internationale,20
118,genomen,20
119,diverse,20
120,fonds,20
121,daarbij,19
122,wil,19
123,dienst,19
124,uitgewerkt,18
125,nemen,18
126,geïntegreerd,18
127,toe,17
128,culturele,17
129,geven,17
130,voorzieningen,17
131,sector,17
132,voorrang,17
133,besteed,17
134,3,17
135,2,17
136,beroepsopleiding,17
137,ervan,16
138,ontwikkeling,16
139,plaats,16
140,preventie,16
141,initiatief,16
142,uitbouw,16
143,migranten,16
144,andere,16
145,betere,16
146,korte,16
147,lokale,16
148,betrekking,16
149,gaan,16
150,verschillende,16
151,prioriteiten,15
152,belangrijke,15
153,vanuit,15
154,belang,15
155,vlamingen,15
156,eerste,15
157,hebben,15
158,groepen,15
159,voortgezet,15
160,milieu,15
161,gewesten,15
162,wat,15
163,komen,15
164,arbeidsbemiddeling,15
165,zelf,14
166,programma,14
167,1991,14
168,vooral,14
