,words,count
0,de,4290
1,en,2871
2,van,2575
3,het,1862
4,we,1636
5,een,1607
6,in,1405
7,voor,1005
8,op,844
9,met,819
10,te,683
11,vlaamse,658
12,om,459
13,aan,400
14,die,359
15,worden,354
16,regering,332
17,ook,303
18,•,300
19,,297
20,dat,297
21,is,284
22,wordt,281
23,als,251
24,bij,242
25,door,239
26,vlaanderen,218
27,meer,210
28,tot,205
29,zijn,202
30,regeerakkoord,199
31,of,187
32,naar,186
33,uit,167
34,167,167
35,23072014,166
36,pagina,166
37,kunnen,165
38,dit,162
39,overheid,158
40,maken,157
41,deze,151
42,nieuwe,146
43,verder,143
44,onze,128
45,werken,128
46,alle,120
47,lokale,120
48,kan,116
49,beleid,114
50,zal,113
51,moet,113
52,hun,113
53,onderwijs,109
54,sociale,108
55,er,107
56,niet,104
57,andere,104
58,tussen,104
59,zetten,103
60,samenwerking,103
61,binnen,103
62,moeten,102
63,mogelijk,100
64,werk,99
65,via,99
66,over,94
67,vlaams,93
68,voeren,93
69,kader,90
70,zorgen,85
71,zo,84
72,onder,83
73,samen,81
74,waar,81
75,stimuleren,81
76,blijven,80
77,overleg,80
78,geven,76
79,hebben,75
80,aandacht,75
81,zich,72
82,brussel,71
83,maar,70
84,willen,70
85,besturen,68
86,inzake,68
87,bestaande,67
88,ze,67
89,gemeenten,65
90,gaan,65
91,verschillende,65
92,ondersteuning,65
93,basis,65
94,agentschap,64
95,versterken,64
96,dan,64
97,europese,62
98,af,62
99,zorg,61
100,zoals,61
101,aanbod,61
102,decreet,61
103,economische,60
104,maximaal,59
105,ruimte,59
106,mensen,59
107,voldoende,59
108,ons,58
109,maatregelen,58
110,tegen,57
111,voorzien,57
112,daarbij,57
113,hierbij,57
114,zodat,56
115,bedrijven,56
116,middelen,56
117,zullen,55
118,nemen,55
119,waarbij,55
120,zowel,54
121,ondersteunen,53
122,realiseren,52
123,innovatie,52
124,vanuit,52
125,vlak,51
126,federale,51
127,economie,50
128,investeren,50
129,sector,50
130,partners,50
131,daarom,48
132,rekening,48
133,bevoegdheden,47
134,eigen,47
135,aantal,47
136,rol,47
137,nog,46
138,oog,46
139,betrokken,46
140,bouwen,46
141,internationale,46
142,eerste,45
143,nodig,45
144,ontwikkelen,45
145,integratie,45
146,na,45
147,uitvoering,44
148,manier,44
149,personen,43
150,ter,43
151,beter,42
152,duurzame,42
153,komen,42
