,words,count
0,de,3982
1,van,2287
2,en,2157
3,het,1685
4,een,1578
5,in,1280
6,we,1087
7,voor,947
8,op,708
9,met,632
10,te,593
11,om,439
12,vlaamse,430
13,worden,355
14,dat,334
15,aan,331
16,die,322
17,ook,320
18,wordt,298
19,is,284
20,vlaanderen,254
21,meer,242
22,regering,216
23,tot,203
24,zijn,201
25,bij,196
26,•,187
27,door,182
28,als,182
29,zal,179
30,,173
31,naar,168
32,er,159
33,beleid,153
34,verder,146
35,moet,143
36,maken,142
37,uit,132
38,over,131
39,kunnen,128
40,onze,127
41,deze,125
42,sociale,124
43,alle,124
44,overheid,122
45,moeten,122
46,nieuwe,119
47,via,115
48,tussen,112
49,onderwijs,109
50,onder,107
51,niet,104
52,of,103
53,vlaams,99
54,dit,96
55,daarbij,91
56,hun,89
57,samenwerking,88
58,maar,87
59,zorgen,87
60,werk,86
61,kader,83
62,lokale,83
63,aandacht,82
64,zetten,81
65,willen,79
66,economische,78
67,andere,78
68,economie,76
69,zullen,75
70,binnen,74
71,werken,74
72,kan,74
73,mogelijk,71
74,bedrijven,70
75,brussel,68
76,komen,66
77,daarom,63
78,realiseren,62
79,zo,62
80,zich,61
81,ons,61
82,vlak,61
83,zoals,61
84,waar,61
85,investeren,60
86,europese,59
87,versterken,59
88,mensen,58
89,hebben,58
90,nog,57
91,nemen,57
92,belangrijke,57
93,voeren,57
94,aanbod,56
95,uitvoering,56
96,basis,54
97,aantal,54
98,samenleving,53
99,haar,53
100,nodig,53
101,bestaande,52
102,voldoende,51
103,kansen,51
104,zodat,51
105,duurzame,50
106,geven,50
107,ten,49
108,stimuleren,49
109,oog,49
110,federale,49
111,crisis,48
112,middelen,48
113,investeringen,48
114,wil,48
115,ontwikkeling,48
116,ondersteuning,47
117,maatregelen,47
118,waarbij,47
119,innovatie,46
120,inspanningen,46
121,ontwikkelen,45
122,bevoegdheden,45
123,overleg,45
124,internationale,44
125,initiatieven,44
126,onderzoek,44
127,dan,43
128,verdere,43
129,duurzaam,42
130,gaan,42
131,goede,42
132,zowel,42
133,verschillende,42
134,decreet,41
135,grote,40
136,besturen,40
137,financiële,40
138,bouwen,40
139,ze,40
140,maatschappelijke,39
141,eigen,39
142,nodige,39
143,tegen,38
144,staat,38
145,bijzondere,38
146,heeft,38
147,sector,38
148,versterkt,38
149,arbeidsmarkt,37
150,jongeren,37
151,maximaal,37
152,blijft,37
153,voorzien,37
154,2020,36
155,doelstellingen,36
156,krijgen,36
157,onderzoeken,36
158,betere,35
159,instrumenten,35
160,internationaal,35
161,personen,35
162,handicap,35
163,minister,35
164,overheden,35
165,vormen,35
166,specifieke,34
167,rand,34
168,toekomst,33
169,niveau,33
170,bijzonder,33
